PWM,RPM,Thrust
1180.00,0.000,-0.000
1185.00,0.000,-0.000
1190.00,0.000,-0.000
1195.00,0.000,-0.000
1200.00,1883.889,0.004
1205.00,1347.407,0.012
1210.00,1551.240,0.017
1215.00,1714.042,0.022
1220.00,1858.323,0.026
1225.00,2120.911,0.033
1230.00,2286.594,0.040
1235.00,2373.133,0.045
1240.00,2487.193,0.050
1245.00,2588.966,0.054
1250.00,2753.296,0.061
1255.00,2926.207,0.069
1260.00,3038.652,0.075
1265.00,3150.960,0.081
1270.00,3289.361,0.088
1275.00,3367.723,0.093
1280.00,3538.283,0.102
1285.00,3640.270,0.108
1290.00,3761.482,0.114
1295.00,3846.389,0.119
1300.00,3972.355,0.127
1305.00,4031.698,0.133
1310.00,4065.232,0.138
1315.00,4173.739,0.143
1320.00,4204.213,0.148
1325.00,4317.397,0.154
1330.00,4464.614,0.162
1335.00,4651.841,0.167
1340.00,4632.189,0.173
1345.00,4698.209,0.178
1350.00,4768.761,0.183
1355.00,4765.577,0.190
1360.00,4939.310,0.196
1365.00,4850.425,0.202
1370.00,5069.206,0.207
1375.00,5239.246,0.212
1380.00,5013.686,0.218
1385.00,5089.549,0.224
1390.00,5296.521,0.232
1395.00,5236.089,0.240
1400.00,5638.087,0.248
1405.00,5586.362,0.253
1410.00,5696.629,0.257
1415.00,5565.258,0.260
1420.00,5731.571,0.268
1425.00,5594.025,0.276
1430.00,5845.444,0.282
1435.00,6044.006,0.288
1440.00,6074.614,0.295
1445.00,6096.108,0.300
1450.00,6128.325,0.304
1455.00,6313.765,0.310
1460.00,6310.099,0.321
1465.00,6334.999,0.328
1470.00,6400.419,0.336
1475.00,6472.564,0.342
1480.00,6566.905,0.349
1485.00,6526.482,0.359
1490.00,6628.299,0.362
1495.00,6642.178,0.366
1500.00,6795.790,0.379
1505.00,6860.988,0.388
1510.00,6923.452,0.397
1515.00,6935.520,0.404
1520.00,7003.237,0.411
1525.00,7065.345,0.421
1530.00,7178.409,0.428
1535.00,7254.534,0.435
1540.00,7395.700,0.450
1545.00,7415.195,0.460
1550.00,7453.324,0.466
1555.00,7531.636,0.477
1560.00,7540.269,0.485
1565.00,7615.911,0.493
1570.00,7669.774,0.501
1575.00,7698.465,0.508
1580.00,7894.180,0.521
1585.00,7889.487,0.530
1590.00,7902.683,0.533
1595.00,8066.902,0.541
1600.00,8055.319,0.553
1605.00,8116.995,0.562
1610.00,8130.294,0.568
1615.00,8193.262,0.574
1620.00,8235.615,0.582
1625.00,8327.338,0.591
1630.00,8298.557,0.597
1635.00,8419.658,0.608
1640.00,8488.116,0.616
1645.00,8537.284,0.623
1650.00,8557.467,0.628
1655.00,8630.736,0.636
1660.00,8712.393,0.640
1665.00,8725.624,0.646
1670.00,8722.111,0.652
1675.00,8787.078,0.662
1680.00,8897.637,0.672
1685.00,8970.744,0.681
1690.00,9021.067,0.682
1695.00,9073.139,0.695
1700.00,9029.331,0.702
1705.00,9093.669,0.708
1710.00,9160.188,0.715
1715.00,9217.029,0.720
1720.00,9236.459,0.728
1725.00,9272.041,0.733
1730.00,9357.047,0.742
1735.00,9349.300,0.745
1740.00,9331.131,0.745
1745.00,9350.912,0.745
1750.00,9339.410,0.742
1755.00,9356.394,0.737
1760.00,9337.523,0.734
1765.00,9325.354,0.735
1770.00,9313.194,0.736
1775.00,9262.119,0.737
1780.00,9263.889,0.736
1785.00,9288.803,0.731
1790.00,9296.439,0.727
1795.00,9259.141,0.728
1800.00,9256.903,0.727
