T,RPM
0,0
216, 276.660
279, 951.445
324, 1333.037
367, 1418.775
408, 1462.701
448, 1495.551
488, 1513.661
527, 1530.105
566, 1547.149
604, 1567.398
642, 1584.912
679, 1595.193
717, 1609.528
753, 1627.693
790, 1639.972
826, 1650.256
862, 1659.521
898, 1668.706
934, 1685.819
969, 1695.155
1005, 1693.241
1040, 1696.497
1076, 1700.680
1111, 1704.255
1146, 1710.864
1181, 1714.041
1216, 1714.678
1251, 1712.280
1286, 1714.237
1321, 1713.405
1356, 1712.475
1391, 1718.558
1426, 1713.405
1461, 1722.653
1495, 1732.952
1530, 1741.756
1564, 1749.934
1598, 1756.543
1632, 1762.373
1666, 1767.669
1700, 1772.840
1734, 1769.285
1768, 1758.551
1802, 1753.771
1836, 1756.697
1871, 1747.539
1905, 1747.692
1939, 1753.309
1973, 1758.654
2007, 1765.745
2037, 2018.910
2059, 2679.409
2078, 3163.556
2096, 3482.096
2112, 3764.588
2127, 4026.035
2141, 4235.792
2154, 4420.867
2167, 4585.403
2180, 4722.179
2192, 4852.014
2205, 4956.220
2216, 5035.669
2228, 5139.187
2240, 5197.505
2251, 5263.620
2262, 5332.859
2273, 5389.867
2284, 5431.339
2295, 5460.005
2306, 5489.981
2317, 5544.262
2328, 5583.473
2339, 5611.672
2349, 5647.590
2360, 5667.328
2370, 5685.048
2381, 5702.338
2391, 5720.824
2402, 5735.589
2412, 5747.677
2423, 5757.605
2433, 5769.231
2444, 5778.677
2454, 5786.479
2464, 5790.947
2475, 5793.743
2485, 5801.586
2495, 5806.639
2506, 5810.575
2516, 5812.827
2526, 5818.464
2537, 5821.852
2547, 5824.112
2557, 5824.112
2567, 5828.072
2578, 5830.337
2588, 5830.337
2598, 5832.037
2609, 5832.604
2619, 5835.440
2629, 5837.144
2639, 5838.848
2650, 5838.848
2660, 5842.828
2670, 5846.813
2681, 5845.674
2691, 5845.104
2701, 5847.383
2711, 5847.383
2722, 5849.093
2732, 5845.104
2742, 5845.674
2752, 5846.813
2763, 5848.523
2773, 5847.953
2783, 5847.953
2793, 5847.953
2804, 5849.664
2814, 5849.664
2824, 5850.234
2834, 5850.234
2845, 5853.659
2855, 5854.229
2865, 5851.946
2875, 5852.517
2886, 5851.946
2896, 5853.659
2906, 5853.659
2916, 5853.087
2927, 5853.087
2937, 5854.801
2947, 5855.372
2957, 5853.087
2968, 5852.517
2978, 5853.087
2988, 5852.517
2998, 5850.805
3009, 5849.093
3019, 5851.375
3029, 5854.801
3039, 5853.659
3050, 5849.093
3060, 5851.375
3070, 5854.801
3080, 5854.229
3091, 5852.517
3101, 5851.946
3111, 5851.946
3121, 5855.372
3132, 5853.087
3142, 5850.805
3152, 5851.946
3162, 5857.087
3173, 5854.801
3183, 5853.659
3193, 5854.229
3203, 5857.087
3214, 5856.515
3224, 5856.515
3234, 5854.229
3244, 5856.515
3255, 5858.231
3265, 5857.659
3275, 5855.944
3285, 5857.659
3296, 5858.803
3306, 5857.087
3316, 5857.659
3326, 5855.944
3337, 5857.087
3347, 5858.231
3357, 5856.515
3367, 5854.801
3378, 5854.801
3388, 5855.372
3398, 5853.659
3408, 5853.087
3419, 5853.659
3429, 5854.801
3439, 5855.372
3449, 5852.517
3460, 5851.946
3470, 5854.801
3480, 5855.944
3490, 5855.372
3501, 5853.659
3511, 5855.372
3521, 5857.087
3531, 5854.229
3542, 5853.087
3552, 5853.659
3562, 5854.801
3572, 5854.801
3583, 5853.659
3593, 5851.375
3603, 5851.946
3613, 5854.229
3624, 5851.946
3634, 5850.234
3644, 5853.659
3654, 5854.229
3665, 5855.944
3675, 5851.946
3685, 5852.517
3695, 5854.801
3706, 5855.372
3716, 5852.517
3726, 5853.087
3736, 5852.517
3747, 5856.515
3757, 5854.229
3767, 5853.087
3777, 5853.087
3788, 5854.229
3798, 5855.944
3808, 5855.944
3818, 5852.517
3829, 5854.801
3839, 5856.515
3849, 5854.229
3859, 5851.375
3870, 5851.946
3880, 5854.801
3890, 5852.517
3900, 5851.375
3911, 5852.517
3921, 5853.087
3931, 5854.229
3941, 5853.087
3952, 5851.946
3962, 5852.517
3972, 5854.801
3982, 5853.659
3993, 5850.805
