T,RPM
0,0
208, 288.200
261, 1130.391
300, 1546.950
329, 2041.580
352, 2597.965
371, 3107.359
388, 3553.029
404, 3875.468
418, 4109.589
432, 4290.925
446, 4440.498
459, 4561.697
472, 4660.918
484, 4746.835
497, 4815.409
509, 4876.066
521, 4926.513
533, 4969.767
545, 5010.020
557, 5041.593
569, 5071.422
581, 5097.273
593, 5122.951
604, 5142.270
616, 5159.958
628, 5176.876
639, 5192.108
651, 5208.333
662, 5217.845
674, 5229.214
685, 5238.802
697, 5247.048
708, 5255.321
719, 5261.312
731, 5265.929
742, 5274.262
753, 5279.367
765, 5283.085
776, 5286.810
788, 5288.673
799, 5292.405
810, 5297.078
822, 5299.417
833, 5298.949
844, 5304.102
855, 5304.102
867, 5304.571
878, 5303.164
889, 5304.571
901, 5305.978
912, 5307.855
923, 5307.855
935, 5308.325
946, 5306.917
957, 5309.265
969, 5309.265
980, 5307.855
991, 5308.325
1002, 5310.674
1014, 5308.325
1025, 5311.615
1036, 5311.615
1048, 5312.085
1059, 5310.205
1070, 5310.674
1082, 5309.734
1093, 5311.145
1104, 5312.085
1115, 5311.615
1127, 5310.205
1138, 5310.674
1149, 5310.674
1161, 5309.734
1172, 5310.205
1183, 5310.674
1194, 5310.205
1206, 5310.674
1217, 5309.734
1228, 5309.734
1240, 5310.205
1251, 5311.615
1262, 5311.145
1274, 5310.205
1285, 5310.674
1296, 5309.734
1307, 5310.205
1319, 5310.205
1330, 5309.734
1341, 5311.615
1353, 5310.205
1364, 5310.205
1375, 5310.205
1387, 5310.674
1398, 5313.026
1409, 5309.265
1420, 5309.265
1432, 5309.734
1443, 5311.615
1454, 5307.855
1466, 5299.417
1477, 5295.208
1488, 5294.741
1500, 5294.273
1511, 5294.273
1522, 5293.806
1534, 5295.675
1545, 5297.545
1556, 5296.610
1568, 5295.675
1579, 5296.610
1590, 5297.078
1602, 5296.610
1613, 5298.013
1624, 5298.013
1636, 5300.354
1647, 5300.822
1658, 5300.354
1670, 5301.758
1681, 5302.227
1692, 5301.758
1704, 5300.822
1715, 5300.822
1726, 5300.354
1737, 5299.885
1749, 5302.227
1760, 5301.290
1771, 5301.758
1783, 5303.164
1794, 5305.978
1805, 5305.040
1817, 5305.040
1828, 5305.978
1839, 5306.447
1851, 5306.917
1862, 5306.917
1873, 5306.447
1885, 5308.795
1896, 5308.795
1907, 5308.795
1918, 5303.633
1930, 5298.013
1941, 5297.078
1952, 5298.949
1964, 5299.417
1975, 5299.417
1986, 5299.885
1998, 5301.290
2009, 5307.855
2020, 5388.899
2031, 5477.951
2042, 5552.985
2053, 5616.926
2063, 5669.470
2074, 5719.188
2084, 5763.689
2094, 5802.708
2105, 5833.171
2115, 5862.810
2125, 5886.970
2135, 5914.244
2145, 5931.785
2155, 5951.200
2165, 5964.808
2176, 5979.073
2186, 5992.210
2196, 6004.203
2206, 6010.217
2215, 6019.866
2225, 6025.912
2235, 6033.789
2245, 6040.471
2255, 6044.122
2265, 6051.437
2275, 6056.324
2285, 6059.994
2295, 6063.668
2305, 6063.668
2315, 6067.961
2325, 6069.803
2334, 6067.348
2344, 6069.803
2354, 6069.803
2364, 6074.104
2374, 6072.875
2384, 6071.031
2394, 6075.949
2404, 6075.949
2413, 6077.796
2423, 6075.949
2433, 6077.796
2443, 6079.027
2453, 6080.259
2463, 6079.644
2473, 6078.412
2483, 6077.796
2492, 6078.412
2502, 6076.565
2512, 6076.565
2522, 6075.949
2532, 6077.796
2542, 6079.644
2552, 6076.565
2562, 6077.180
2571, 6076.565
2581, 6077.796
2591, 6075.334
2601, 6076.565
2611, 6077.180
2621, 6079.027
2631, 6079.644
2641, 6077.180
2650, 6078.412
2660, 6076.565
2670, 6077.796
2680, 6077.180
2690, 6077.796
2700, 6077.796
2710, 6079.644
2719, 6079.644
2729, 6080.875
2739, 6078.412
2749, 6080.259
2759, 6080.259
2769, 6080.259
2779, 6082.108
2789, 6083.342
2798, 6085.193
2808, 6081.492
2818, 6080.875
2828, 6084.576
2838, 6085.193
2848, 6084.576
2858, 6084.576
2867, 6085.193
2877, 6086.427
2887, 6086.427
2897, 6086.427
2907, 6085.193
2917, 6085.810
2927, 6089.516
2936, 6086.427
2946, 6088.280
2956, 6085.193
2966, 6086.427
2976, 6085.810
2986, 6084.576
2996, 6083.342
3005, 6085.193
3015, 6083.958
3025, 6082.725
3035, 6080.875
3045, 6083.342
3055, 6080.875
3065, 6079.027
3075, 6077.796
3084, 6079.027
3094, 6083.342
3104, 6077.796
3114, 6080.259
3124, 6079.027
3134, 6080.875
3144, 6080.875
3153, 6077.796
3163, 6076.565
3173, 6077.180
3183, 6077.180
3193, 6074.719
3203, 6074.104
3213, 6078.412
3223, 6078.412
3232, 6079.644
3242, 6077.180
3252, 6077.796
3262, 6076.565
3272, 6074.104
3282, 6076.565
3292, 6073.489
3302, 6073.489
3311, 6077.796
3321, 6073.489
3331, 6073.489
3341, 6077.180
3351, 6078.412
3361, 6081.492
3371, 6077.796
3381, 6078.412
3390, 6081.492
3400, 6081.492
3410, 6080.259
3420, 6080.259
3430, 6081.492
3440, 6080.259
3450, 6082.108
3460, 6082.725
3469, 6081.492
3479, 6083.958
3489, 6083.958
3499, 6082.725
3509, 6080.259
3519, 6082.108
3529, 6085.193
3538, 6082.725
3548, 6081.492
3558, 6081.492
3568, 6082.725
3578, 6081.492
3588, 6079.644
3598, 6080.875
3607, 6080.875
3617, 6082.725
3627, 6080.259
3637, 6079.027
3647, 6077.180
3657, 6080.259
3667, 6079.644
3677, 6078.412
3686, 6075.949
3696, 6078.412
3706, 6075.334
3716, 6075.334
3726, 6077.796
3736, 6079.027
3746, 6080.875
3756, 6080.259
3765, 6077.180
3775, 6077.180
3785, 6077.180
3795, 6079.644
3805, 6077.796
3815, 6079.027
3825, 6077.796
3835, 6080.875
3844, 6080.259
3854, 6079.027
3864, 6077.796
3874, 6080.875
3884, 6080.875
3894, 6080.875
3904, 6080.875
3913, 6083.958
3923, 6082.725
3933, 6081.492
3943, 6082.725
3953, 6083.958
3963, 6085.193
3973, 6083.342
3982, 6085.810
3992, 6083.958
