T,RPM
0,0
115, 519.341
226, 539.442
278, 1165.116
322, 1343.725
366, 1388.503
408, 1425.381
449, 1455.675
489, 1481.811
529, 1504.589
569, 1523.771
608, 1540.002
646, 1553.599
685, 1565.558
723, 1576.500
760, 1585.582
798, 1593.075
836, 1599.915
873, 1605.566
910, 1610.479
947, 1615.335
984, 1618.909
1021, 1622.586
1058, 1625.972
1095, 1627.693
1132, 1629.859
1169, 1631.321
1206, 1633.987
1242, 1635.189
1279, 1636.840
1316, 1638.449
1352, 1639.882
1389, 1641.048
1425, 1641.991
1462, 1642.666
1498, 1643.791
1535, 1644.917
1571, 1644.872
1608, 1646.994
1644, 1647.266
1680, 1647.401
1717, 1647.944
1753, 1647.944
1790, 1647.990
1826, 1648.442
1862, 1648.216
1899, 1648.850
1935, 1649.394
1972, 1648.714
2008, 1650.074
2042, 1787.257
2066, 2449.379
2085, 3107.842
2102, 3580.380
2117, 3979.308
2131, 4292.459
2144, 4579.454
2157, 4814.250
2169, 5000.417
2180, 5138.306
2192, 5265.929
2203, 5382.131
2214, 5470.958
2225, 5545.287
2235, 5608.001
2246, 5665.722
2257, 5712.653
2267, 5752.085
2277, 5787.595
2288, 5827.506
2298, 5856.515
2308, 5878.895
2318, 5897.385
2328, 5920.079
2339, 5934.131
2349, 5947.661
2359, 5961.252
2369, 5976.691
2379, 5980.265
2389, 5989.817
2399, 5987.426
2409, 5996.402
2419, 6007.810
2429, 6006.607
2439, 6010.217
2449, 6013.832
2459, 6018.658
2469, 6025.306
2479, 6022.282
2489, 6015.038
2499, 6031.363
2508, 6033.789
2518, 6027.122
2528, 6028.939
2538, 6032.576
2548, 6036.217
2558, 6026.517
2568, 6030.151
2578, 6031.969
2588, 6039.255
2598, 6034.396
2608, 6033.789
2618, 6035.610
2628, 6041.079
2638, 6039.255
2648, 6032.576
2658, 6036.217
2668, 6044.731
2677, 6038.647
2687, 6034.396
2697, 6038.647
2707, 6039.863
2717, 6038.040
2727, 6036.217
2737, 6034.396
2747, 6039.255
2757, 6038.647
2767, 6039.863
2777, 6031.969
2787, 6035.610
2797, 6040.471
2807, 6038.040
2817, 6030.757
2827, 6036.825
2837, 6041.688
2846, 6035.610
2856, 6030.151
2866, 6034.396
2876, 6036.825
2886, 6032.576
2896, 6028.939
2906, 6031.969
2916, 6039.255
2926, 6035.610
2936, 6031.969
2946, 6030.757
2956, 6035.610
2966, 6038.647
2976, 6030.151
2986, 6032.576
2996, 6038.647
3006, 6038.040
3015, 6034.396
3025, 6034.396
3035, 6033.789
3045, 6044.122
3055, 6035.003
3065, 6035.003
3075, 6038.647
3085, 6044.122
3095, 6035.003
3105, 6031.969
3115, 6035.610
3125, 6041.688
3135, 6039.255
3145, 6034.396
3155, 6038.647
3165, 6042.296
3174, 6037.432
3184, 6036.825
3194, 6038.040
3204, 6042.905
3214, 6038.647
3224, 6031.969
3234, 6033.183
3244, 6040.471
3254, 6039.255
3264, 6036.217
3274, 6033.183
3284, 6039.863
3294, 6039.863
3304, 6035.003
3314, 6036.825
3324, 6041.079
3333, 6042.905
3343, 6041.079
3353, 6033.789
3363, 6040.471
3373, 6042.296
3383, 6040.471
3393, 6035.003
3403, 6041.688
3413, 6042.296
3423, 6042.296
3433, 6038.647
3443, 6039.255
3453, 6045.949
3463, 6045.340
3473, 6039.255
3482, 6039.863
3492, 6045.949
3502, 6044.731
3512, 6038.647
3522, 6039.255
3532, 6045.340
3542, 6043.513
3552, 6039.863
3562, 6042.905
3572, 6043.513
3582, 6048.997
3592, 6045.949
3602, 6041.688
3612, 6045.340
3621, 6051.437
3631, 6045.340
3641, 6041.688
3651, 6043.513
3661, 6048.997
3671, 6047.168
3681, 6041.688
3691, 6040.471
3701, 6045.949
3711, 6045.949
3721, 6039.863
3731, 6039.255
3741, 6041.688
3751, 6046.559
3760, 6039.863
3770, 6036.825
3780, 6040.471
3790, 6047.168
3800, 6042.905
3810, 6039.863
3820, 6043.513
3830, 6052.048
3840, 6047.168
3850, 6041.688
3860, 6041.079
3870, 6047.168
3880, 6046.559
3890, 6044.122
3899, 6044.731
3909, 6046.559
3919, 6048.997
3929, 6044.122
3939, 6042.296
3949, 6043.513
3959, 6052.658
3969, 6049.607
3979, 6041.079
3989, 6044.731
